Rank,Name,Net Worth,Change,Age,Country/Territory,Source,Industry,Net Worth Num
268,Ramzi Musallam,$7.9 B,up arrow,54.0,United States,Private equity,Finance & Investments,7.9
268,David Shaw,$7.9 B,up arrow,72.0,United States,Hedge funds,Finance & Investments,7.9
268,Andrei Skoch & family,$7.9 B,up arrow,57.0,Russia,Metals and mining,Metals & Mining,7.9
268,Georg Stumpf,$7.9 B,unchanged,50.0,Austria,"Real estate, construction",Diversified,7.9
276,Rocco Commisso,$7.8 B,up arrow,73.0,United States,Telecom,Telecom,7.8
276,Li Shuirong & family,$7.8 B,down arrow,66.0,China,Petrochemicals,Manufacturing,7.8
276,Lin Shu-hong,$7.8 B,up arrow,94.0,Taiwan,Petrochemicals,Manufacturing,7.8
276,Qi Shi & family,$7.8 B,down arrow,53.0,China,Financial information,Technology,7.8
276,Yao Liangsong,$7.8 B,down arrow,58.0,China,Furniture,Manufacturing,7.8
276,Zhang Congyuan,$7.8 B,down arrow,75.0,Taiwan,Shoes,Fashion & Retail,7.8
282,Jean-Michel Besnier,$7.7 B,down arrow,55.0,France,Cheese,Food & Beverage,7.7
282,Marie Besnier Beauvalot,$7.7 B,down arrow,42.0,France,Cheese,Food & Beverage,7.7
282,David Geffen,$7.7 B,down arrow,80.0,United States,"Movies, record labels",Media & Entertainment,7.7
282,Robin Li,$7.7 B,up arrow,54.0,China,Internet search,Technology,7.7
282,Liu Yonghao & family,$7.7 B,down arrow,71.0,China,Agribusiness,Service,7.7
282,Henry Samueli,$7.7 B,up arrow,68.0,United States,Semiconductors,Technology,7.7
282,Reinhold Schmieding,$7.7 B,up arrow,68.0,United States,Medical devices,Healthcare,7.7
282,Ivar Tollefsen,$7.7 B,up arrow,61.0,Norway,Real estate,Real Estate,7.7
290,Cao Renxian,$7.6 B,down arrow,54.0,China,Photovoltaic equipment,Energy,7.6
290,Hasmukh Chudgar & family,$7.6 B,up arrow,89.0,India,Pharmaceuticals,Healthcare,7.6
290,Andrew Currie,$7.6 B,up arrow,67.0,United Kingdom,Chemicals,Manufacturing,7.6
290,Joe Gebbia,$7.6 B,down arrow,41.0,United States,Airbnb,Technology,7.6
290,Philip Ng,$7.6 B,,64.0,Singapore,Real Estate,Real Estate,7.6
290,John Reece,$7.6 B,up arrow,66.0,United Kingdom,Chemicals,Manufacturing,7.6
290,Leonard Stern,$7.6 B,up arrow,85.0,United States,Real estate,Real Estate,7.6
290,Joseph Tsai,$7.6 B,down arrow,59.0,Canada,E-commerce,Technology,7.6
290,Zhong Huijuan,$7.6 B,down arrow,62.0,China,Pharmaceuticals,Healthcare,7.6
299,Arthur Blank,$7.5 B,up arrow,80.0,United States,Home Depot,Sports,7.5
299,Charles Butt,$7.5 B,list returnee,85.0,United States,Supermarkets,Fashion & Retail,7.5
299,Ding Shijia,$7.5 B,down arrow,59.0,China,Sports apparel,Fashion & Retail,7.5
299,"Paul Tudor Jones, II.",$7.5 B,up arrow,68.0,United States,Hedge funds,Finance & Investments,7.5
299,Henry Kravis,$7.5 B,down arrow,79.0,United States,Private equity,Finance & Investments,7.5
299,Zhang Yong,$7.5 B,up arrow,52.0,Singapore,Restaurants,Food & Beverage,7.5
